id,order,appid,game,character,protagonist_name,protagonist_role,protagonist_type,source_type,source_url,source_note,validation_status,known_status,internal_suggested_primary_archetype,internal_suggested_secondary_archetype,internal_suggested_archetype_confidence_0_1,internal_archetype_rationale,internal_archetype_source_url,total_ratings_pos_neg,bucket,batch,prompt
steam_377160_sole-survivor,11,377160.0,Fallout 4,Sole Survivor,Sole Survivor,Vault 111 survivor searching for kidnapped son Shaun,custom_protagonist,wiki,https://fallout.wiki/wiki/Sole_Survivor,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Caregiver,Explorer / Ruler,0.68,"The main quest starts from parental rescue/loss, while open-world exploration and settlement/faction leadership can shift the role.",https://fallout.wiki/wiki/Sole_Survivor,,,batch01_04_unknown,Fallout 4 — Sole Survivor
steam_489830_last-dragonborn,12,489830.0,The Elder Scrolls V: Skyrim Special Edition,Last Dragonborn,Last Dragonborn,custom player character / Dragonborn,custom_protagonist,wiki,https://elderscrolls.fandom.com/wiki/Last_Dragonborn,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Magician / Explorer,0.72,The designed role is a chosen mythic hero with supernatural dragon power; open-world play can realize Explorer or Magician strongly.,https://elderscrolls.fandom.com/wiki/Last_Dragonborn,,,batch01_04_unknown,The Elder Scrolls V: Skyrim Special Edition — Last Dragonborn
steam_379430_henry-of-skalitz,13,379430.0,Kingdom Come: Deliverance,Henry of Skalitz,Henry of Skalitz,blacksmith’s son drawn into war and revenge,fixed_protagonist,wiki,https://kingdom-come-deliverance.fandom.com/wiki/Henry_of_Skalitz,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Everyman,Hero / Rebel,0.74,"Henry begins as an ordinary blacksmith’s son, then develops through revenge, service and survival into a more heroic agent.",https://kingdom-come-deliverance.fandom.com/wiki/Henry_of_Skalitz,,,batch01_04_unknown,Kingdom Come: Deliverance — Henry of Skalitz
steam_391220_lara-croft,14,391220.0,Rise of the Tomb Raider™,Lara Croft,Lara Croft,archaeologist/adventurer searching for Kitezh,fixed_protagonist,wiki,https://tombraider.fandom.com/wiki/Lara_Croft,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Explorer,Hero / Sage,0.84,"Lara is canonically archaeologist/adventurer; exploration of ruins and pursuit of lost knowledge are central, with action-hero framing.",https://tombraider.fandom.com/wiki/Lara_Croft,,,batch01_04_unknown,Rise of the Tomb Raider™ — Lara Croft
steam_362890_gordon-freeman,15,362890.0,Black Mesa,Gordon Freeman,Gordon Freeman,silent theoretical physicist protagonist of Half-Life,silent_avatar,wiki,https://en.wikipedia.org/wiki/Gordon_Freeman,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Sage,Everyman / Hero,0.76,"Gordon is a scientist turned survival/action protagonist; silence makes him projective, but the physicist identity grounds a Sage reading.",https://en.wikipedia.org/wiki/Gordon_Freeman,,,batch01_04_unknown,Black Mesa — Gordon Freeman
steam_412020_artyom,16,412020.0,Metro Exodus,Artyom,Artyom,survivor and ranger leaving Moscow with the Aurora crew,fixed_protagonist,wiki,https://metrovideogame.fandom.com/wiki/Artyom,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Explorer,Hero / Caregiver,0.72,"Exodus reframes Artyom as explorer of post-apocalyptic Russia and protector of the group, rather than only shooter protagonist.",https://metrovideogame.fandom.com/wiki/Artyom,,,batch01_04_unknown,Metro Exodus — Artyom
steam_418370_ethan-winters,17,418370.0,Resident Evil 7 Biohazard,Ethan Winters,Ethan Winters,civilian searching for missing wife Mia,fixed_protagonist,wiki,https://residentevil.fandom.com/wiki/Ethan_Winters,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Everyman,Lover / Hero,0.78,Ethan is not a soldier or superhero in RE7; his ordinary-person horror survival is motivated by rescuing his wife.,https://residentevil.fandom.com/wiki/Ethan_Winters,,,batch01_04_unknown,Resident Evil 7 Biohazard — Ethan Winters
steam_424840_six,18,424840.0,Little Nightmares,Six,Six,small childlike protagonist trying to escape the Maw,silent_avatar,wiki,https://littlenightmares.fandom.com/wiki/Six,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Innocent,Everyman / Rebel,0.67,"Six appears vulnerable and childlike, but the game complicates innocence with hunger, escape and morally unsettling survival.",https://littlenightmares.fandom.com/wiki/Six,,,batch01_04_unknown,Little Nightmares — Six
steam_356190_talion,19,356190.0,Middle-earth™: Shadow of War™,Talion,Talion,Gondorian ranger bonded with Celebrimbor,fixed_protagonist,wiki,https://lotr.fandom.com/wiki/Talion,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Rebel / Ruler,0.77,Talion is an undead ranger fighting Sauron’s forces; army-building and domination systems add Ruler/Rebel dimensions.,https://lotr.fandom.com/wiki/Talion,,,batch01_04_unknown,Middle-earth™: Shadow of War™ — Talion
steam_383870_henry,20,383870.0,Firewatch,Henry,Henry,fire lookout in Wyoming dealing with grief and mystery,fixed_protagonist,wiki,https://firewatch.fandom.com/wiki/Henry,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Everyman,Sage / Explorer,0.7,Henry is an ordinary man fleeing personal failure into a lookout role; mystery/investigation and wilderness exploration shape the secondary frame.,https://firewatch.fandom.com/wiki/Henry,,,batch01_04_unknown,Firewatch — Henry
steam_447040_marcus-holloway,21,447040.0,Watch_Dogs® 2,Marcus Holloway,Marcus Holloway,hacker / DedSec member resisting ctOS and Blume,fixed_protagonist,wiki,https://watchdogs.fandom.com/wiki/Marcus_Holloway,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Rebel,Sage / Jester,0.8,Marcus is a hacktivist resisting surveillance/corporate control; technical knowledge and playful prankster style support Sage/Jester secondary aspects.,https://watchdogs.fandom.com/wiki/Marcus_Holloway,,,batch01_04_unknown,Watch_Dogs® 2 — Marcus Holloway
steam_460950_subject-zero,22,460950.0,Katana ZERO,Subject Zero,Subject Zero,amnesiac assassin also known as The Dragon,fixed_protagonist,wiki,https://katana-zero.fandom.com/wiki/Zero,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Rebel,Hero / Sage,0.63,The protagonist is a traumatized assassin whose agency is constrained by handlers and memory; archetype is unstable and high-shadow.,https://katana-zero.fandom.com/wiki/Zero,,,batch01_04_unknown,Katana ZERO — Subject Zero
steam_387290_ori,23,387290.0,Ori and the Blind Forest: Definitive Edition,Ori,Ori,orphaned guardian spirit restoring the forest,fixed_protagonist,wiki,https://oriandtheblindforest.fandom.com/wiki/Ori,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Innocent,Hero / Caregiver,0.76,Ori combines vulnerable child/spirit coding with restorative heroic action on behalf of the forest/community.,https://oriandtheblindforest.fandom.com/wiki/Ori,,,batch01_04_unknown,Ori and the Blind Forest: Definitive Edition — Ori
steam_403640_emily-kaldwin-corvo-attano,24,403640.0,Dishonored 2,Emily Kaldwin / Corvo Attano,Emily Kaldwin / Corvo Attano,two selectable protagonists: empress or royal protector,dual_protagonist,wiki,https://dishonored.fandom.com/wiki/Dishonored_2,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Ruler,Rebel / Magician,0.65,Emily is an overthrown ruler reclaiming agency; Corvo is a protector. Supernatural powers and stealth-rebellion shape the secondary coding.,https://dishonored.fandom.com/wiki/Dishonored_2,,,batch01_04_unknown,Dishonored 2 — Emily Kaldwin / Corvo Attano
steam_409710_jack,25,409710.0,BioShock™ Remastered,Jack,Jack,silent/manipulated protagonist of BioShock,silent_avatar,wiki,https://bioshock.fandom.com/wiki/Jack,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Everyman,Rebel / Sage,0.68,"Jack’s role is deliberately manipulated and revealed; player obedience/resistance is central, making this archetypally ambiguous.",https://bioshock.fandom.com/wiki/Jack,,,batch01_04_unknown,BioShock™ Remastered — Jack
steam_414700_blake-langermann,26,414700.0,Outlast 2,Blake Langermann,Blake Langermann,investigative cameraman searching for Lynn,fixed_protagonist,wiki,https://outlast.fandom.com/wiki/Blake_Langermann,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Everyman,Lover / Sage,0.7,Blake is a vulnerable non-combat investigator whose journey is motivated by his wife and shaped by uncovering horror.,https://outlast.fandom.com/wiki/Blake_Langermann,,,batch01_04_unknown,Outlast 2 — Blake Langermann
steam_420530_niko,27,420530.0,OneShot,Niko,Niko,childlike messiah figure carrying the sun,fixed_protagonist,wiki,https://oneshot.fandom.com/wiki/Niko,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Innocent,Hero / Magician,0.75,Niko is explicitly childlike and entrusted with restoring a world; meta-narrative and sacred-object role add Magician/Hero tones.,https://oneshot.fandom.com/wiki/Niko,,,batch01_04_unknown,OneShot — Niko
steam_360430_lincoln-clay,28,360430.0,Mafia III: Definitive Edition,Lincoln Clay,Lincoln Clay,Vietnam veteran seeking revenge and building a criminal power base,fixed_protagonist,wiki,https://mafiagame.fandom.com/wiki/Lincoln_Clay,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Rebel,Ruler / Hero,0.74,"Lincoln’s revenge against organized crime is rebellious, but territorial control and underworld consolidation add Ruler functions.",https://mafiagame.fandom.com/wiki/Lincoln_Clay,,,batch01_04_unknown,Mafia III: Definitive Edition — Lincoln Clay
steam_433340_beatrix-lebeau,29,433340.0,Slime Rancher,Beatrix LeBeau,Beatrix LeBeau,"rancher exploring the Far, Far Range",fixed_protagonist,wiki,https://slimerancher.fandom.com/wiki/Beatrix_LeBeau,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Creator,Explorer / Caregiver,0.78,"Gameplay and fiction center on ranch-building, care of slimes, and exploration, making Creator/Explorer stronger than generic systemic role.",https://slimerancher.fandom.com/wiki/Beatrix_LeBeau,,,batch01_04_unknown,Slime Rancher — Beatrix LeBeau
steam_413150_player-character-farmer,30,413150.0,Stardew Valley,Player character / farmer,Player character / farmer,inherited farm owner rebuilding farm/community,custom_protagonist,official/wiki,https://stardewvalleywiki.com/Player,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Creator,Caregiver / Everyman,0.7,"The player role is farming, crafting, relationship-building and community restoration; no fixed named protagonist.",https://stardewvalleywiki.com/Player,,,batch01_04_unknown,Stardew Valley — Player character / farmer
steam_374320_ashen-one,31,374320.0,DARK SOULS™ III,Ashen One,Ashen One,unefkindled undead tasked with linking or ending the fire,custom_protagonist,wiki,https://darksouls3.wiki.fextralife.com/Ashen+One,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Explorer / Rebel,0.64,A mythic quest role with sparse characterization; player choice/endings can alter whether the role feels restorative or rebellious.,https://darksouls3.wiki.fextralife.com/Ashen+One,,,batch01_04_unknown,DARK SOULS™ III — Ashen One
steam_435150_godwoken-custom-or-origin-character,32,435150.0,Divinity: Original Sin 2 - Definitive Edition,Godwoken / custom or origin character,Godwoken / custom or origin character,sourcerer chosen as potential Divine,custom_protagonist,wiki,https://divinity.fandom.com/wiki/Godwoken,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Magician,Hero / Ruler,0.66,The Godwoken role is defined by Source power and divine candidacy; party/origin structure makes the exact archetype conditional.,https://divinity.fandom.com/wiki/Godwoken,,,batch01_04_unknown,Divinity: Original Sin 2 - Definitive Edition — Godwoken / custom or origin character
steam_397540_vault-hunters-amara-fl4k-moze-zane,33,397540.0,Borderlands 3,"Vault Hunters: Amara, FL4K, Moze, Zane","Vault Hunters: Amara, FL4K, Moze, Zane",multiple playable vault hunters,multiple_protagonists,wiki,https://borderlands.fandom.com/wiki/Borderlands_3,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Jester / Explorer,0.55,The ensemble action-looter structure is less narratively centered; the Vault Hunter role is heroic/exploratory but comic tone reduces certainty.,https://borderlands.fandom.com/wiki/Borderlands_3,,,batch01_04_unknown,"Borderlands 3 — Vault Hunters: Amara, FL4K, Moze, Zane"
steam_477160_bob,34,477160.0,Human Fall Flat,Bob,Bob,customizable wobbly human avatar in dream puzzles,silent_avatar,wiki,https://human-fall-flat.fandom.com/wiki/Bob,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Jester,Everyman / Explorer,0.6,"Bob is largely a comic physics avatar; archetype follows embodied slapstick/puzzle performance, not deep character lore.",https://human-fall-flat.fandom.com/wiki/Bob,,,batch01_04_unknown,Human Fall Flat — Bob
steam_361420_astroneer,35,361420.0,ASTRONEER,Astroneer,Astroneer,unnamed space explorer / terraforming astronaut,implicit_player_role,wiki,https://astroneer.fandom.com/wiki/Astroneer,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Explorer,Creator,0.62,The role is defined by planetary exploration and base/resource creation; no strong named character identity.,https://astroneer.fandom.com/wiki/Astroneer,,,batch01_04_unknown,ASTRONEER — Astroneer
steam_427520_engineer,36,427520.0,Factorio,Engineer,Engineer,unnamed engineer crash-landed on alien planet,implicit_player_role,wiki,https://wiki.factorio.com/Player,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Creator,Sage / Ruler,0.65,"The player character is narratively thin; gameplay strongly emphasizes construction, optimization, automation and control.",https://wiki.factorio.com/Player,,,batch01_04_unknown,Factorio — Engineer
steam_394360_state-national-command-role,37,394360.0,Hearts of Iron IV,State / national command role,State / national command role,implicit national leadership / war-planning role,implicit_player_role,official/wiki,https://hoi4.paradoxwikis.com/Beginner%27s_guide,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Ruler,Sage,0.7,"No character protagonist; the player acts as national command, planning war, diplomacy, production and strategy.",https://hoi4.paradoxwikis.com/Beginner%27s_guide,,,batch01_04_unknown,Hearts of Iron IV — State / national command role
steam_457140_overseer-duplicant-colony-manager,38,457140.0,Oxygen Not Included,Overseer / duplicant colony manager,Overseer / duplicant colony manager,implicit colony-management role,implicit_player_role,wiki,https://oxygennotincluded.fandom.com/wiki/Oxygen_Not_Included_Wiki,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Creator,Ruler / Sage,0.68,The primary player role is designing and maintaining a colony ecosystem; character identity is distributed among duplicants.,https://oxygennotincluded.fandom.com/wiki/Oxygen_Not_Included_Wiki,,,batch01_04_unknown,Oxygen Not Included — Overseer / duplicant colony manager
steam_493340_park-manager-creator,39,493340.0,Planet Coaster,Park manager / creator,Park manager / creator,implicit theme-park designer/manager,implicit_player_role,wiki,https://planetcoaster.fandom.com/wiki/Planet_Coaster_Wiki,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Creator,Ruler / Jester,0.64,"The player primarily designs, builds and manages a park; playful spectacle gives weak Jester tone.",https://planetcoaster.fandom.com/wiki/Planet_Coaster_Wiki,,,batch01_04_unknown,Planet Coaster — Park manager / creator
steam_433850_battle-royale-survivor,40,433850.0,Z1 Battle Royale,Battle royale survivor,Battle royale survivor,generic competitive survivor,implicit_player_role,steam/general,https://store.steampowered.com/app/433850/Z1_Battle_Royale/,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Explorer,0.4,"No stable narrative protagonist; only a generic competitive survival role, so archetype confidence is deliberately low.",https://store.steampowered.com/app/433850/Z1_Battle_Royale/,,,batch01_04_unknown,Z1 Battle Royale — Battle royale survivor
steam_381210_survivors-killers,41,381210.0,Dead by Daylight,Survivors / Killers,Survivors / Killers,asymmetric multiplayer roles,multiple_protagonists,wiki,https://deadbydaylight.fandom.com/wiki/Dead_by_Daylight_Wiki,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Everyman,Rebel / Shadow-load,0.42,"No single protagonist; survivor role can be Everyman/Rebel, killer role is antagonist/shadow. Needs exclusion or special multiplayer coding.",https://deadbydaylight.fandom.com/wiki/Dead_by_Daylight_Wiki,,,batch01_04_unknown,Dead by Daylight — Survivors / Killers
steam_359550_operators,42,359550.0,Tom Clancy's Rainbow Six Siege,Operators,Operators,multiplayer tactical operators,multiple_protagonists,wiki,https://rainbowsix.fandom.com/wiki/Tom_Clancy%27s_Rainbow_Six_Siege,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Sage,0.4,No single protagonist; player role is tactical operator. Better treated as low-priority or excluded from protagonist-focused corpus.,https://rainbowsix.fandom.com/wiki/Tom_Clancy%27s_Rainbow_Six_Siege,,,batch01_04_unknown,Tom Clancy's Rainbow Six Siege — Operators
steam_444090_champions,43,444090.0,Paladins®,Champions,Champions,hero-shooter ensemble champions,multiple_protagonists,wiki,https://paladins.fandom.com/wiki/Champions,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Magician / Jester,0.35,"Hero-shooter ensemble with many character archetypes; no single protagonist, so should not receive final single-character coding.",https://paladins.fandom.com/wiki/Champions,,,batch01_04_unknown,Paladins® — Champions
steam_393380_soldier-squad-member,44,393380.0,Squad,Soldier / squad member,Soldier / squad member,multiplayer military role,implicit_player_role,steam/general,https://store.steampowered.com/app/393380/Squad/,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Sage,0.35,No authored protagonist; tactical multiplayer role only. Likely exclude or code as systemic/multiplayer role.,https://store.steampowered.com/app/393380/Squad/,,,batch01_04_unknown,Squad — Soldier / squad member
steam_386360_gods-playable-deities,45,386360.0,SMITE®,Gods / playable deities,Gods / playable deities,MOBA ensemble of mythological gods,multiple_protagonists,wiki,https://smite.fandom.com/wiki/Smite_Wiki,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Magician,Hero / Ruler,0.35,"Many playable mythological figures, no single protagonist. Useful only for ensemble/special-case analysis.",https://smite.fandom.com/wiki/Smite_Wiki,,,batch01_04_unknown,SMITE® — Gods / playable deities
steam_460930_nomad-ghost-team,46,460930.0,Tom Clancy's Ghost Recon® Wildlands,Nomad / Ghost team,Nomad / Ghost team,customizable Ghost squad leader,custom_protagonist,wiki,https://ghostrecon.fandom.com/wiki/Nomad,Batch 01: high-visibility titles / known protagonists. Suggestions are not final labels.,needs_human_validation,named_protagonist,Hero,Sage / Rebel,0.55,"Nomad/team structure gives military hero role, but character individuality is limited and customizable.",https://ghostrecon.fandom.com/wiki/Nomad,,,batch01_04_unknown,Tom Clancy's Ghost Recon® Wildlands — Nomad / Ghost team
steam_480490_morgan-yu,47,480490.0,Prey,Morgan Yu,Morgan Yu,TranStar scientist/director of research; gender-selectable survivor on Talos I,customizable_fixed_protagonist,wiki,https://prey.fandom.com/wiki/Morgan_Yu,Batch 02: next high-visibility titles from Steam master. Suggestions are not final labels; source URLs indicate protagonist/lore basis.,needs_human_validation,named_protagonist,Sage,Magician / Everyman,0.74,"Morgan is framed through scientific knowledge, memory reconstruction, experimentation, and moral choice; neuromods and identity instability add Magician/shadow-like transformation.",https://prey.fandom.com/wiki/Morgan_Yu,,,batch01_04_unknown,Prey — Morgan Yu
steam_501300_edith-finch,48,501300.0,What Remains of Edith Finch,Edith Finch,Edith Finch,last surviving Finch returning to the family house to uncover family history,fixed_protagonist,wiki/wikipedia,https://what-remains-of-edith-finch.fandom.com/wiki/Edith_Finch,Batch 02: next high-visibility titles from Steam master. Suggestions are not final labels; source URLs indicate protagonist/lore basis.,needs_human_validation,named_protagonist,Sage,Caregiver / Explorer,0.76,"Edith is primarily an investigator and witness of family memory; the traversal through the house gives an Explorer layer, while pregnancy/family transmission gives a Caregiver dimension.",https://en.wikipedia.org/wiki/What_Remains_of_Edith_Finch,,,batch01_04_unknown,What Remains of Edith Finch — Edith Finch
steam_367500_the-arisen,49,367500.0,Dragon's Dogma: Dark Arisen,The Arisen,The Arisen,custom player character chosen by the dragon; bonded to Pawns and questing through Gransys,custom_protagonist,wiki,https://dragonsdogma.fandom.com/wiki/Arisen,Batch 02: next high-visibility titles from Steam master. Suggestions are not final labels; source URLs indicate protagonist/lore basis.,needs_human_validation,named_protagonist,Hero,Explorer / Magician,0.64,"The Arisen is structurally a chosen heroic avatar, but customization and vocation magic/monster hunting make the reading variable.",https://dragonsdogma.fandom.com/wiki/Arisen,,,batch01_04_unknown,Dragon's Dogma: Dark Arisen — The Arisen
steam_485510_william-adams,50,485510.0,Nioh: Complete Edition,William Adams,William Adams,Irish sailor/samurai based on the historical William Adams,fixed_protagonist,wiki,https://nioh.wiki.fextralife.com/William,Batch 02: next high-visibility titles from Steam master. Suggestions are not final labels; source URLs indicate protagonist/lore basis.,needs_human_validation,named_protagonist,Hero,Explorer / Magician,0.72,William is an outsider-warrior moving through supernatural Japan; Guardian Spirits and yokai conflict add a Magician/fantasy layer.,https://nioh.wiki.fextralife.com/William,,,batch01_04_unknown,Nioh: Complete Edition — William Adams
